"Page URL with More than one h1 tag ","Page depth"
"https://www.toolifypdf.online/?category=Image Tools","2"
"https://www.toolifypdf.online/?category=Text Tools","2"
"https://www.toolifypdf.online/?category=Security Tools","2"
"https://www.toolifypdf.online/?category=PDF Tools","2"
"https://www.toolifypdf.online/?category=OCR Tools","2"
"https://www.toolifypdf.online/?category=Converters","1"
"https://www.toolifypdf.online/?category=PDF+Tools","1"
"https://www.toolifypdf.online/?category=Calculators","1"
"https://www.toolifypdf.online/?category=Security+Tools","1"
"https://www.toolifypdf.online/?category=OCR+Tools","1"
"https://www.toolifypdf.online/?category=Image+Tools","1"
"https://www.toolifypdf.online/?category=Text+Tools","1"
"https://www.toolifypdf.online/","0"
